id	rate	bna
12071	663675	325158
12073	282940	134474
12075	39821	19649
12077	8295	5140
12079	18729	9869
12081	343729	166067
12083	336811	161696
12085	151586	74988
12086	2639042	1280221
12087	75901	40159
12089	75880	37485
12091	192237	97092
12093	39255	21176
12095	1229039	603946
12097	300870	148030
12099	1378806	666577
12101	479288	232719
12103	931477	446740
12105	626676	307017
12107	72696	35825
12109	210495	102338
12111	288006	140448
12113	161021	82189
12115	392038	187242
12117	437346	211546
12119	108501	55190
12121	43595	21647
12123	22685	12781
12125	15191	9830
12127	503719	245481
12129	31128	17366
12131	59487	30176
12133	24629	13478
13001	18417	9040
13003	8294	4090
13005	11222	5638
13007	3292	1579
13009	45795	22776
13011	18336	9327
13013	72012	36057
13015	101336	50052
13017	17477	8349
13019	19019	9471
13021	154816	73011
13023	12746	6099
13025	18452	9134
13027	15637	7686
13029	33151	16205
13031	72386	35859
13033	23007	11071
13035	23445	12451
13037	6489	3892
13039	51445	26515
13043	11031	5342
13045	112595	54865
13047	65375	31905
13049	13130	7024
13051	279290	134833
13053	11914	7940
13055	25241	13007
13057	225944	111170
13059	120905	57448
13061	3104	1510
13063	267234	127166
13065	6791	3359
13067	719133	348219
13069	43003	21980
13071	46024	22869
13073	136204	66418
13075	17033	8200
13077	133416	65194
13079	12539	6406
13081	23314	11035
13083	16445	7997
13085	22673	11244
13087	27378	13359
13089	716331	341362
13091	21180	11215
13093	14293	7717
13095	93310	43432
13097	136520	65637
13099	10579	4899
13101	4048	1893
13103	54630	27196
13105	19537	9262
13107	22731	11130
13109	10814	5024
13111	23742	11531
13113	108655	52720
13115	96169	46567
13117	196236	97505
13119	22110	10827
13121	983903	478161
13123	28673	14560
13125	3087	1495
13127	81743	38647
13129	55889	27738
13131	25243	12504
13133	16331	7972
13135	859234	421395
13137	43527	20573
13139	187916	93746
13141	8881	4878
13143	28565	13951
13145	32776	16304
13147	25498	12615
13149	11617	5753
13151	211512	101340
13153	147570	71562
13155	9408	4798
13157	61420	30418
13159	13593	6658
13161	14990	7411
13163	16374	7916
13165	8922	4444
13167	9794	5437
13169	28738	14006
13171	18114	8653
13173	10403	5237
13175	47886	22810
13177	28946	14499
13179	64427	32654
13181	7720	3705
13183	16588	8097
13185	113203	55627
13187	30921	15176
13189	21582	10274
13191	14007	6828
13193	14045	7720
13195	28232	13938
13197	8739	4394
13199	21297	10185
13201	5936	2837
13205	22982	11990
13207	26915	13536
13209	8968	4553
13211	17900	8530
13213	39401	19280
13215	200285	98321
13217	102645	48786
13219	34400	16817
13221	14688	7296
13223	147400	72089
13225	27086	13112
13227	29740	14910
13229	18934	9379
13231	17812	8730
13233	41215	20182
13235	11590	4866
13237	21247	10565
13239	2326	1106
13241	16266	7981
13243	7315	3732
13245	201291	97446
13247	86901	41147
13249	5074	2517
13251	14206	6953
13253	8769	4113
13255	63873	30884
13257	25620	12352
13259	5868	3564
13261	31429	14894
13263	6490	3140
13265	1721	829
13267	25302	14529
13269	8401	4036
13271	16416	9502
13273	9213	4342
13275	44824	21239
13277	40787	19671
13279	27210	12743
13281	10800	5213
13283	6762	3296
13285	68867	33189
13287	8338	4284
13289	8509	4180
13291	21725	10648
13293	26528	12701
13295	68285	33760
13297	86201	42055
13299	35723	17751
13301	5561	2561
13303	20785	10467
13305	30046	15421
13307	2720	1370
13309	7956	5402
13311	27791	13527
13313	103456	51451
13315	8972	5252
13317	9991	4729
13319	9386	4579
13321	21156	10208
15001	191482	95939
15003	984178	498129
15005	85	42
15007	69691	34971
15009	160863	80790
16001	417501	208879
16003	3880	2049
16005	83604	41666
16007	5939	2981
16009	9088	4581
16011	45407	22715
16013	21309	10836
16015	6885	3626
16017	41066	20563
16019	107788	53404
16021	10961	5596
16023	2653	1424
16025	1052	538
16027	198921	98609
16029	6808	3429
16031	23369	11866
16033	901	440
16035	8560	4736
16037	4234	2169
16039	26175	13509
16041	12914	6540
16043	12945	6677
16045	16731	8390
16047	15233	7895
16049	16312	8571
16051	26792	13541
16053	22653	11462
16055	145046	71718
16057	38339	19676
16059	7790	3933
16061	3812	1885
16063	5260	2676
16065	37916	19077
16067	20279	10284
16069	39779	19697
16071	4245	2183
16073	11364	5863
16075	22700	11458
16077	7731	3910
16079	12571	6324
16081	10285	5379
16083	80004	39568
16085	9720	5059
16087	10025	5082
17001	67081	32676
17003	7364	3634
17005	17313	8784
17007	53851	26882
17009	6859	4377
17011	34115	16728
17013	4999	2528
17015	14926	7459
17017	13254	6772
17019	205766	102654
17021	34200	17478
17023	16159	7828
17025	13582	6689
17027	37929	19473
17029	53037	25550
17031	5236393	2537245
17033	19541	10078
17035	10943	5509
17037	104345	51515
17039	16388	8251
17041	19826	9723
17043	930412	456274
17045	17992	8791
17047	6649	3284
17049	34332	17154
17051	22136	11622
17053	13835	6854
17055	39694	19558
17057	36323	18844
17059	5385	2570
17061	13502	6797
17063	50277	25083
17065	8322	4087
17067	18738	9249
17069	4228	2184
17071	7042	3428
17073	49883	24752
17075	29053	14192
17077	59534	29883
17079	9635	4805
17081	38578	19817
17083	22625	11058
17085	22397	11254
17087	12829	7267
17089	524886	261189
17091	112221	55164
17093	120036	59632
17095	52112	26159
17097	702898	350658
17099	112579	56448
17101	16665	9997
17103	35027	18524
17105	37689	19002
17107	29956	15194
17109	32009	15654
17111	307357	153090
17113	173114	84278
17115	109193	52336
17117	46844	23174
17119	267356	130741
17121	38665	18929
17123	12173	6004
17125	14126	6994
17127	15016	7244
17129	12611	6158
17131	16107	7994
17133	33539	16452
17135	29348	15282
17137	35129	17761
17139	14927	7301
17141	52397	26103
17143	187112	90646
17145	21810	11572
17147	16495	8171
17149	16144	8053
17151	4331	2242
17153	5871	2868
17155	5822	2942
17157	33069	17902
17159	16127	8015
17161	147161	72422
17163	267029	128729
17165	24783	12036
17167	199016	95552
17169	7311	3894
17171	5198	2530
17173	22115	11012
17175	5859	2891
17177	46625	22568
17179	135697	66990
17181	17551	8746
17183	80368	39901
17185	11652	5685
17187	17701	8601
17189	14457	7242
17191	16555	8201
17193	14464	7006
17195	57525	28306
17197	683995	339609
17199	67121	33323
17201	290439	141776
17203	39106	19366
18001	34642	17102
18003	363453	177301
18005	79488	39534
18007	8752	4367
18009	12476	6155
18011	60511	29997
18013	15011	7521
18015	20014	9947
18017	38476	19243
18019	113181	55549
18021	26686	13079
18023	32835	16165
18025	10591	5347
18027	32411	16232
18029	49679	24766
18031	26240	12985
18033	42449	21132
18035	117335	56294
18037	42291	21113
18039	200685	99175
18041	23773	11747
18043	75900	36794
18045	16888	8461
18047	22935	11446
18049	20527	10256
18051	33668	16855
18053	68896	32990
18055	32815	16298
18057	296635	144898
18059	71328	34905
18061	39230	19612
18063	153435	76496
18065	49146	25371
18067	82765	39916
18069	36863	18116
18071	43471	21713
18073	33448	16591
18075	21255	10443
18077	32453	15535
18079	28113	14134
18081	145645	71670
18083	38062	19264
18085	77983	38870
18087	38084	19233
18089	491596	237712
