CensusId	State	County	TotalPop	Men	Women	White	Black	Native	Asian	Pacific	Employed	Unemployment
1129	Alabama	Washington	16997	8490	8507	65.2	24.9	8.1	0.4	0.0	5656	20.0
1131	Alabama	Wilcox	11235	5376	5859	27.4	72.0	0.0	0.0	0.0	2838	20.8
1133	Alabama	Winston	24130	11876	12254	94.3	0.5	0.3	0.2	0.0	8894	9.6
2013	Alaska	Aleutians East Borough	3304	2198	1106	15.0	9.2	29.0	30.5	1.1	2519	2.9
2016	Alaska	Aleutians West Census Area	5684	3393	2291	27.8	4.6	12.9	36.8	2.4	3787	2.1
2020	Alaska	Anchorage Municipality	299107	153122	145985	60.3	5.5	6.3	8.7	2.1	152355	6.7
2050	Alaska	Bethel Census Area	17776	9351	8425	11.3	0.8	80.6	1.2	0.3	6232	17.6
2060	Alaska	Bristol Bay Borough	970	553	417	53.4	0.5	29.0	0.7	0.2	541	5.4
2068	Alaska	Denali Borough	2060	1126	934	84.7	0.6	3.5	2.9	0.0	1210	2.3
2070	Alaska	Dillingham Census Area	4979	2589	2390	17.7	0.3	71.7	1.4	0.0	1854	12.5
2090	Alaska	Fairbanks North Star Borough	99705	53477	46228	71.9	4.1	5.7	2.6	0.6	46661	7.9
2100	Alaska	Haines Borough	2560	1387	1173	79.6	0.0	6.4	3.0	0.0	1470	3.0
2105	Alaska	Hoonah-Angoon Census Area	2128	1129	999	49.3	2.2	32.4	2.6	0.0	1086	13.1
2110	Alaska	Juneau City and Borough	32531	16645	15886	66.0	1.2	11.8	6.2	1.1	17836	5.2
2122	Alaska	Kenai Peninsula Borough	57221	29974	27247	81.7	0.6	7.3	1.3	0.1	25637	9.4
2130	Alaska	Ketchikan Gateway Borough	13699	7038	6661	65.0	0.4	13.6	7.3	0.1	6655	7.9
2150	Alaska	Kodiak Island Borough	13973	7468	6505	51.4	0.4	13.3	21.3	0.9	7032	6.3
2158	Alaska	Kusilvak Census Area	7914	4200	3714	4.5	0.4	87.4	0.4	0.1	2067	28.6
2164	Alaska	Lake and Peninsula Borough	1474	731	743	21.0	0.5	67.6	3.2	0.7	657	9.8
2170	Alaska	Matanuska-Susitna Borough	96178	50205	45973	80.8	1.0	5.1	1.4	0.3	40854	9.8
2180	Alaska	Nome Census Area	9854	5272	4582	16.5	0.7	69.8	1.2	0.2	3654	16.5
2185	Alaska	North Slope Borough	9667	6172	3495	32.2	0.5	47.4	5.3	5.6	5499	9.3
2188	Alaska	Northwest Arctic Borough	7732	4165	3567	11.8	0.3	81.5	0.8	0.0	2593	21.9
2195	Alaska	Petersburg Borough	3221	1708	1513	68.6	3.0	5.9	2.3	0.4	1665	8.4
2198	Alaska	Prince of Wales-Hyder Census Area	6376	3468	2908	46.0	0.2	40.3	0.8	0.3	2819	13.9
2220	Alaska	Sitka City and Borough	8943	4584	4359	62.7	1.1	13.6	5.8	0.3	4756	3.8
2230	Alaska	Skagway Municipality	999	527	472	75.3	0.0	5.0	10.6	0.0	676	7.8
