CensusId	TotalPop	State	County	Men	Women	White	Black	Native	Asian	Pacific	Employed	Unemployment	id
17203	39106	Illinois	Woodford	19366	19740	95.9	0.5	0.0	0.8	0.0	18798	5.9	17203
18001	34642	Indiana	Adams	17102	17540	94.1	0.7	0.1	0.3	0.0	14982	6.2	18001
18003	363453	Indiana	Allen	177301	186152	75.2	11.3	0.2	3.2	0.0	170294	8.0	18003
18005	79488	Indiana	Bartholomew	39534	39954	84.9	2.0	0.3	4.9	0.1	38666	5.4	18005
18007	8752	Indiana	Benton	4367	4385	92.9	0.8	0.0	0.1	0.0	4096	5.3	18007
18009	12476	Indiana	Blackford	6155	6321	96.1	0.6	0.1	0.2	0.0	5199	9.8	18009
18011	60511	Indiana	Boone	29997	30514	92.4	1.2	0.2	2.2	0.0	30471	3.7	18011
18013	15011	Indiana	Brown	7521	7490	96.1	0.3	0.1	0.3	0.0	7039	6.2	18013
18015	20014	Indiana	Carroll	9947	10067	94.3	0.3	0.0	0.1	0.0	9224	8.2	18015
18017	38476	Indiana	Cass	19243	19233	81.8	1.4	0.3	1.4	0.0	17342	8.7	18017
18019	113181	Indiana	Clark	55549	57632	84.5	7.0	0.1	0.9	0.0	54754	6.8	18019
18021	26686	Indiana	Clay	13079	13607	96.7	0.2	0.2	0.1	0.0	11766	7.8	18021
18023	32835	Indiana	Clinton	16165	16670	83.8	0.7	0.2	0.3	0.1	15003	7.3	18023
18025	10591	Indiana	Crawford	5347	5244	96.5	0.1	1.1	0.0	0.0	4273	6.6	18025
18027	32411	Indiana	Daviess	16232	16179	93.0	1.4	0.0	0.3	0.0	14319	5.4	18027
18029	49679	Indiana	Dearborn	24766	24913	96.4	0.8	0.3	0.5	0.1	24159	8.1	18029
18031	26240	Indiana	Decatur	12985	13255	95.3	0.6	0.1	1.3	0.0	12601	6.3	18031
18033	42449	Indiana	DeKalb	21132	21317	95.3	0.1	0.1	0.5	0.0	19542	7.5	18033
18035	117335	Indiana	Delaware	56294	61041	87.5	5.8	0.1	1.2	0.0	51781	10.1	18035
18037	42291	Indiana	Dubois	21113	21178	91.9	0.4	0.1	0.6	0.0	21742	3.3	18037
18039	200685	Indiana	Elkhart	99175	101510	76.1	5.6	0.1	1.1	0.0	91085	7.4	18039
18041	23773	Indiana	Fayette	11747	12026	96.0	2.0	0.0	0.3	0.0	9245	12.1	18041
18043	75900	Indiana	Floyd	36794	39106	88.7	4.9	0.3	1.0	0.0	37064	7.3	18043
18045	16888	Indiana	Fountain	8461	8427	95.7	0.4	0.4	0.1	0.0	7533	8.6	18045
18047	22935	Indiana	Franklin	11446	11489	97.4	0.2	0.1	0.6	0.0	11103	6.4	18047
18049	20527	Indiana	Fulton	10256	10271	92.5	1.0	0.4	0.5	0.0	9122	6.0	18049
18051	33668	Indiana	Gibson	16855	16813	94.2	1.6	0.1	0.2	0.0	16013	4.3	18051
18053	68896	Indiana	Grant	32990	35906	85.8	6.6	0.2	0.7	0.0	29151	8.8	18053
18055	32815	Indiana	Greene	16298	16517	97.0	0.2	0.0	0.4	0.2	14187	7.0	18055
18057	296635	Indiana	Hamilton	144898	151737	85.0	3.5	0.1	5.3	0.0	154190	4.3	18057
18059	71328	Indiana	Hancock	34905	36423	93.6	2.0	0.3	0.5	0.0	35339	5.5	18059
18061	39230	Indiana	Harrison	19612	19618	96.1	0.8	0.2	0.4	0.0	18294	7.9	18061
18063	153435	Indiana	Hendricks	76496	76939	86.7	5.7	0.1	2.4	0.0	76792	5.3	18063
18065	49146	Indiana	Henry	25371	23775	94.0	1.7	0.3	0.4	0.0	19488	10.6	18065
18067	82765	Indiana	Howard	39916	42849	86.2	6.9	0.2	1.2	0.0	35740	9.2	18067
18069	36863	Indiana	Huntington	18116	18747	95.6	0.7	0.4	0.8	0.0	17909	7.4	18069
18071	43471	Indiana	Jackson	21713	21758	90.2	0.8	0.2	1.4	0.0	19885	7.3	18071
18073	33448	Indiana	Jasper	16591	16857	92.0	0.7	0.0	0.2	0.0	15197	6.3	18073
18075	21255	Indiana	Jay	10443	10812	95.4	0.6	0.2	0.3	0.0	9495	8.2	18075
18077	32453	Indiana	Jefferson	15535	16918	93.4	1.9	0.2	0.8	0.0	14381	9.2	18077
18079	28113	Indiana	Jennings	14134	13979	95.5	1.4	0.1	0.2	0.0	12285	9.7	18079
18081	145645	Indiana	Johnson	71670	73975	91.0	1.9	0.1	2.0	0.0	70667	6.3	18081
18083	38062	Indiana	Knox	19264	18798	93.2	3.0	0.1	0.6	0.1	17864	6.1	18083
18085	77983	Indiana	Kosciusko	38870	39113	89.0	0.7	0.3	1.0	0.0	37483	6.5	18085
18087	38084	Indiana	LaGrange	19233	18851	94.6	0.0	0.1	0.3	0.0	15663	5.5	18087
18089	491596	Indiana	Lake	237712	253884	54.8	24.4	0.2	1.3	0.0	212423	10.5	18089
18091	111280	Indiana	LaPorte	57575	53705	80.4	10.8	0.2	0.5	0.0	46864	9.8	18091
18093	45814	Indiana	Lawrence	22637	23177	96.1	0.4	0.1	0.6	0.0	20669	6.3	18093
18095	130280	Indiana	Madison	65208	65072	85.8	7.7	0.1	0.4	0.1	54576	9.3	18095
18097	926335	Indiana	Marion	446372	479963	58.1	26.8	0.2	2.4	0.0	436687	10.1	18097
18099	46962	Indiana	Marshall	23335	23627	88.6	0.6	0.1	0.6	0.1	21470	8.3	18099
18101	10262	Indiana	Martin	5176	5086	97.4	0.3	0.4	0.6	0.1	4716	6.1	18101
18103	36211	Indiana	Miami	19482	16729	89.8	5.0	1.0	0.3	0.1	14752	9.4	18103
18105	142404	Indiana	Monroe	70830	71574	84.8	2.9	0.2	6.1	0.0	69887	6.9	18105
18107	38172	Indiana	Montgomery	19378	18794	92.5	0.9	0.3	0.5	0.0	17497	6.9	18107
18109	69403	Indiana	Morgan	34338	35065	96.5	0.4	0.1	0.6	0.0	32732	7.3	18109
18111	14057	Indiana	Newton	7100	6957	92.3	0.3	0.2	0.4	0.1	6146	8.9	18111
18113	47546	Indiana	Noble	23826	23720	87.9	0.5	0.1	0.6	0.0	21795	8.8	18113
18115	6033	Indiana	Ohio	3015	3018	98.9	1.0	0.0	0.0	0.0	2909	7.7	18115
18117	19725	Indiana	Orange	9783	9942	95.8	1.4	0.1	0.3	0.0	8330	6.8	18117
18119	21192	Indiana	Owen	10705	10487	96.6	0.6	0.3	0.2	0.0	9276	8.0	18119
18121	17107	Indiana	Parke	8098	9009	95.0	2.0	0.2	0.1	0.3	6730	7.8	18121
18123	19414	Indiana	Perry	10407	9007	94.4	3.0	0.1	0.3	0.0	8399	5.6	18123
18125	12687	Indiana	Pike	6373	6314	99.1	0.2	0.0	0.1	0.0	5902	5.1	18125
18127	166570	Indiana	Porter	81958	84612	84.5	3.2	0.2	1.4	0.1	78219	7.3	18127
18129	25567	Indiana	Posey	12708	12859	96.4	1.3	0.0	0.4	0.0	12101	5.3	18129
18131	13047	Indiana	Pulaski	6623	6424	94.9	0.3	0.1	0.4	0.0	5831	7.0	18131
18133	37650	Indiana	Putnam	19967	17683	91.9	4.0	0.2	0.9	0.0	15518	7.3	18133
18135	25596	Indiana	Randolph	12487	13109	94.5	0.4	0.1	0.1	0.0	11319	7.8	18135
18137	28612	Indiana	Ripley	14064	14548	96.1	0.5	0.2	1.1	0.0	13088	7.4	18137
18139	16991	Indiana	Rush	8414	8577	96.5	0.9	0.0	0.2	0.0	7787	6.9	18139
18141	267246	Indiana	St. Joseph	129457	137789	74.4	12.8	0.3	2.0	0.1	123170	8.5	18141
18143	23783	Indiana	Scott	11685	12098	96.4	0.2	0.1	0.4	0.0	9803	11.0	18143
18145	44441	Indiana	Shelby	21899	22542	92.8	1.3	0.0	0.7	0.0	21379	8.3	18145
18147	20856	Indiana	Spencer	10557	10299	95.4	0.6	0.2	0.3	0.1	10060	5.6	18147
18149	23117	Indiana	Starke	11395	11722	94.6	0.7	0.1	0.3	0.0	9583	11.5	18149
18151	34267	Indiana	Steuben	17379	16888	94.3	0.3	0.0	0.4	0.0	16375	6.9	18151
18153	21111	Indiana	Sullivan	11540	9571	92.3	4.5	0.3	0.2	0.0	8203	6.8	18153
18155	10500	Indiana	Switzerland	5443	5057	96.6	1.0	0.2	0.2	0.0	4314	9.6	18155
18157	180952	Indiana	Tippecanoe	92366	88586	78.4	4.4	0.1	7.2	0.0	86629	6.5	18157
18159	15573	Indiana	Tipton	7776	7797	95.7	0.2	0.0	0.1	0.3	7195	6.2	18159
18161	7299	Indiana	Union	3681	3618	96.3	0.2	0.0	0.6	0.0	3384	7.7	18161
18163	181305	Indiana	Vanderburgh	87661	93644	84.6	9.0	0.2	1.1	0.1	86077	6.2	18163
18165	15860	Indiana	Vermillion	7785	8075	97.0	0.3	0.4	0.3	0.0	6686	6.5	18165
18167	108268	Indiana	Vigo	54952	53316	86.1	6.1	0.2	1.9	0.0	47334	8.9	18167
18169	32358	Indiana	Wabash	15894	16464	94.7	0.8	0.7	0.3	0.0	14892	7.0	18169
18171	8367	Indiana	Warren	4159	4208	96.9	0.6	0.2	0.1	0.0	4031	5.5	18171
18173	60995	Indiana	Warrick	30171	30824	93.3	1.5	0.2	2.1	0.0	29930	5.0	18173
18175	27930	Indiana	Washington	13867	14063	97.0	0.1	0.4	0.2	0.0	11783	10.1	18175
18177	67866	Indiana	Wayne	32924	34942	88.8	4.7	0.1	0.8	0.0	28437	9.0	18177
18179	27796	Indiana	Wells	13709	14087	95.5	0.6	0.3	0.6	0.0	13510	4.1	18179
18181	24388	Indiana	White	12107	12281	90.3	0.4	0.0	0.2	0.0	11433	6.0	18181
18183	33330	Indiana	Whitley	16667	16663	95.9	0.4	0.4	0.3	0.0	16503	5.3	18183
19001	7426	Iowa	Adair	3667	3759	97.2	0.4	0.0	0.3	0.0	3776	3.2	19001
19003	3892	Iowa	Adams	1942	1950	97.0	0.7	0.0	0.3	0.0	1994	3.2	19003
19005	14060	Iowa	Allamakee	7169	6891	92.0	0.7	0.1	0.3	0.0	6904	6.0	19005
19007	12669	Iowa	Appanoose	6302	6367	96.2	0.3	0.0	0.4	0.0	5799	6.6	19007
19009	5869	Iowa	Audubon	2858	3011	97.5	0.2	0.2	0.3	0.0	3008	2.6	19009
19011	25803	Iowa	Benton	12888	12915	96.8	0.7	0.0	0.2	0.0	13080	4.7	19011
19013	132496	Iowa	Black Hawk	64707	67789	83.0	9.0	0.2	1.7	0.0	67141	6.6	19013
19015	26401	Iowa	Boone	13244	13157	95.0	0.9	0.2	0.3	0.0	13403	4.7	19015
19017	24539	Iowa	Bremer	12103	12436	96.0	1.1	0.2	0.8	0.2	12843	3.9	19017
19019	20998	Iowa	Buchanan	10426	10572	96.6	0.4	0.3	0.5	0.0	10375	3.9	19019
19021	20507	Iowa	Buena Vista	10516	9991	63.9	2.7	0.0	7.6	0.9	10725	3.7	19021
19023	14966	Iowa	Butler	7429	7537	97.2	0.4	0.1	0.5	0.0	7419	4.0	19023
19025	9914	Iowa	Calhoun	5065	4849	95.0	1.4	0.4	0.3	0.0	4614	4.0	19025
19027	20629	Iowa	Carroll	10066	10563	95.7	1.5	0.1	0.1	0.0	10722	3.3	19027
19029	13590	Iowa	Cass	6661	6929	95.9	0.4	0.2	0.4	0.1	6712	3.2	19029
19031	18375	Iowa	Cedar	9013	9362	96.2	0.4	0.0	0.6	0.0	9763	3.0	19031
19033	43481	Iowa	Cerro Gordo	21284	22197	91.9	1.2	0.2	1.1	0.0	22601	4.4	19033
19035	11853	Iowa	Cherokee	5921	5932	94.3	0.5	0.4	0.1	0.0	6018	3.7	19035
19037	12244	Iowa	Chickasaw	6149	6095	96.2	0.4	0.1	0.6	0.0	6148	3.8	19037
19039	9280	Iowa	Clarke	4686	4594	87.9	0.1	0.0	0.5	0.0	4504	5.0	19039
19041	16537	Iowa	Clay	8133	8404	94.6	0.6	0.1	0.2	0.4	8504	3.8	19041
